ID,Author,Year,Title,Type,Task,Variable,"Inclusion (1: Yes, 2: No)",Sample,"Total N 
(Mean Age)",MeanAge,Intervention,Results,nT,nC,Num_Session,Treat_Duration_Hour,Home_Duration_Hour,Mean_Post_T,SD_Post_T,Mean_Post_C,SD_Post_C,Task_Value,nC2,Mean_Post_C,SD_Post_C,C2_Summary
3,Alfonso,2011,Combined goal management training and mindfulness meditation improve executive functions and decision-making performance in abstinent polysubstance abusers,WM,Letter Number Sequencing,accuracy ,1,alcohol and polysubstance pts,"18(41)
16(34.89)",37.945,14 twice wkly sessions of 90 min duration,mindfulness > TAU,18,16,98,2.5,,8.33,2.54,6.93,2.64,1,,,,
3,Alfonso,2011,Combined goal management training and mindfulness meditation improve executive functions and decision-making performance in abstinent polysubstance abusers,WM,Digit Span,accuracy ,1,alcohol and polysubstance pts,"18(41)
16(34.89)",37.945,14 twice wkly sessions of 90 min duration,mindfulness > TAU,18,16,98,2.5,,15,3.97,12.56,3.98,1,,,,
3,Alfonso,2011,Combined goal management training and mindfulness meditation improve executive functions and decision-making performance in abstinent polysubstance abusers,EF - decision making,Iowa Gambling Task,accuracy - net Score,1,alcohol and polysubstance pts,"18(41)
16(34.89)",37.945,14 twice wkly sessions of 90 min duration,mindfulness > TAU,18,16,98,2.5,,4.33,12.7,-8.13,13.53,1,,,,
3,Alfonso,2011,Combined goal management training and mindfulness meditation improve executive functions and decision-making performance in abstinent polysubstance abusers,EF - planning,Zoo Map,accuracy - raw score ,1,alcohol and polysubstance pts,"18(41)
16(34.89)",37.945,14 twice wkly sessions of 90 min duration,ns,18,16,98,2.5,,12.22,3.98,9.31,4.68,1,,,,
3,Alfonso,2011,Combined goal management training and mindfulness meditation improve executive functions and decision-making performance in abstinent polysubstance abusers,EF - planning and problem-solving,Key Search,accuracy - raw score ,1,alcohol and polysubstance pts,"18(41)
16(34.89)",37.945,14 twice wkly sessions of 90 min duration,ns,18,16,98,2.5,,8.56,3.45,9.06,3.7,1,,,,
3,Alfonso,2011,Combined goal management training and mindfulness meditation improve executive functions and decision-making performance in abstinent polysubstance abusers,EF and WM,Arithmetic,Correct response,1,alcohol and polysubstance pts,"18(41)
16(34.89)",37.945,14 twice wkly sessions of 90 min duration,ns,18,16,98,2.5,,10.39,4.36,8,3.37,1,,,,
3,Alfonso,2011,Combined goal management training and mindfulness meditation improve executive functions and decision-making performance in abstinent polysubstance abusers,EF - cognitive flexibility,Trail Making Test B-A,reaction time,1,alcohol and polysubstance pts,"18(41)
16(34.89)",37.945,14 twice wkly sessions of 90 min duration,ns,18,16,98,2.5,,55.83,28.79,54.06,38.81,-1,,,,
3,Alfonso,2011,Combined goal management training and mindfulness meditation improve executive functions and decision-making performance in abstinent polysubstance abusers,N/A,Stroop Color*Word Test,Speed and accuracy,2,alcohol and polysubstance pts,"18(41)
16(34.89)",37.945,14 twice wkly sessions of 90 min duration,mindfulness > TAU,18,16,98,2.5,,45.17,11.42,37.43,11.4,1,,,,
4,Allen,2012,Cognitive-Affective Neural Plasticity following Active-Controlled Mindfulness Intervention,EF - conflict monitoring,Error-Awareness Task,accuracy - Amount of Aware Errors,1,college students,38(NR),,6 wk mindfulness meditation,ns,19,19,10,2,,61,25,76,27,1,,,,
4,Allen,2012,Cognitive-Affective Neural Plasticity following Active-Controlled Mindfulness Intervention,EF - conflict monitoring,Error-Awareness Task,error - amount of Unaware Errors,2,college students,38(NR),,6 wk mindfulness meditation,ns,19,19,10,2,,21,18,17,14,-1,,,,
5,Anderson,2007,Mindfulness-based stress reduction and attentional control,EF-cognitive flexibility,Switching Task,Accuracy ,,healthy person,72(NR),,"8 wk MBSR, weekly 2 hr",ns,39,33,,8,16,,,,,1,,,,
5,Anderson,2007,Mindfulness-based stress reduction and attentional control,AT-selective,Object Detection Tastk ,Accuracy ,,healthy person,72(NR),,"8 wk MBSR, weekly 2 hr",ns,39,33,,8,16,,,,,1,,,,
5,Anderson,2007,Mindfulness-based stress reduction and attentional control,EF - inhibitory control,Stroop Task,Error,2,healthy person,72(NR),,"8 wk MBSR, weekly 2 hr",ns,39,33,,8,16,,,,,-1,,,,
5,Anderson,2007,Mindfulness-based stress reduction and attentional control,AT-sustained,CPT,Reaction time ,,healthy person,72(NR),,"8 wk MBSR, weekly 2 hr",ns,39,33,,8,16,,,,,-1,,,,
5,Anderson,2007,Mindfulness-based stress reduction and attentional control,EF-cognitive flexibility,Switching Task,Reaction time ,,healthy person,72(NR),,"8 wk MBSR, weekly 2 hr",ns,39,33,,8,16,,,,,-1,,,,
5,Anderson,2007,Mindfulness-based stress reduction and attentional control,EF - inhibitory control,Stroop Task ,Reaction time ,1,healthy person,72(NR),,"8 wk MBSR, weekly 2 hr",ns,39,33,,8,16,,,,,-1,,,,
5,Anderson,2007,Mindfulness-based stress reduction and attentional control,AT-selective,Object Detection Tastk ,Reaction time ,,healthy person,72(NR),,"8 wk MBSR, weekly 2 hr",ns,39,33,,8,16,,,,,-1,,,,
5,Anderson,2007,Mindfulness-based stress reduction and attentional control,AT-sustained,CPT,Sustained Attention target discrimination ,,healthy person,72(NR),,"8 wk MBSR, weekly 2 hr",ns,39,33,,8,16,,,,,,,,,
5,Anderson,2007,Mindfulness-based stress reduction and attentional control,EF - inhibitory control,Stroop Task ,True Error,2,healthy person,72(NR),,"8 wk MBSR, weekly 2 hr",ns,39,33,,8,16,,,,,-1,,,,
6,Baird,2014,Domain-specific enhancement of metacognitive ability following meditation training,AT-selective,Perceptual decision task,Accuracy - percent,1,college students,50(20.5),20.5,"45 min, 4 times per week for 2 wks meditation",meditation > CG,,,,,,,,,,1,,,,
6,Baird,2014,Domain-specific enhancement of metacognitive ability following meditation training,LM,Memory Retrieval Task,Accuracy-old vs new words decision-making,1,college students,50(20.5),20.5,"45 min, 4 times per week for 2 wks meditation",ns,26,24,8,2.67,2,3.34,1.24,4.06,2.49,1,,,,
7,Banks,2015,The protective effects of brief mindfulness meditation training,WM,AOSPAN Task,accuracy,1,college students,80 (NR),,1 wk  mindfuless meditation,mindfulness > CG,40,40,1,0.25,1,62.47,9.77,52.29,17.06,1,,,,
8,Bing-Canar,2016,Mindfulness‐of‐breathing exercise modulates EEG alpha activity during cognitive performance,N/A,EEG only,,,NA,NA,,NA,NA,,,,,,,,,,,,,,
9,Bonamo,2015,The influence of a brief mindfulness exercise on encoding of novel words in female college students,LM,Paired-associate recall,accuracy,1,college students,85(NR),,20-min body scan meditation vs. 45-min body scan meditation vs. control,mindfulness > CG,46,39,1,0.2,0,"8.25

","0.62


",5.28,0.58,1,,,,
10,Brown,2016,Mindfulness Enhances Episodic Memory Performance: Evidence from a Multimethod Investigation,LM,R-K Task (Recognition Memory Task),Accuracy-old vs new words decision-making,1,college students,93(19.12),19.12,2 audio recording (9 min 40 sec),mindfulness > CG,44,49,1,0.16,0,0.91,0.9,0.85,0.13,1,,,,
10,Brown,2016,Mindfulness Enhances Episodic Memory Performance: Evidence from a Multimethod Investigation,LM,R-K Task (Recognition Memory Task),accuracy-recall,1,college students,93(19.12),19.12,2 audio recording (9 min 40 sec),mindfulness > CG,44,49,1,0.16,0,0.91,0.9,0.85,0.13,1,,,,
10,Brown,2016,Mindfulness Enhances Episodic Memory Performance: Evidence from a Multimethod Investigation,LM,R-K Task (Recognition Memory Task),accuracy-recall,1,college students,76 (NR),,2 audio recording (9 min 40 sec),mindfulness > CG,57,19,1,0.16,0,7.58,4.23,1.27,0.28,1,,,,
10,Brown,2016,Mindfulness Enhances Episodic Memory Performance: Evidence from a Multimethod Investigation,LM,R-K Task (Recognition Memory Task),accuracy-recognition,1,college students,76 (NR),,2 audio recording (9 min 40 sec),mindfulness > CG,57,19,1,0.16,0,7.58,4.23,1.27,0.28,1,,,,
11,Bueno,2015,"Mindfulness Meditation Improves Mood, Quality of Life, and Attention in Adults with Attention Deficit Hyperactivity Disorder",EF - inhibotory control,Continuous Performance Test II ,comission errors-number ,1,ADHD adults & healthy people,43 (NR),,8 wkly (2.5 hrs) mindfulness awareness practices,mindfulness > no intervention,21,22,8,20,1.42,10.6,8.4,12.9,9.7,-1,,,,ADHD patients with no meditation intervention 
11,Bueno,2015,"Mindfulness Meditation Improves Mood, Quality of Life, and Attention in Adults with Attention Deficit Hyperactivity Disorder",AT - sustained,Continuous Performance Test II ,omission error-number,1,ADHD adults & healthy people,43 (NR),,8 wkly (2.5 hrs) mindfulness awareness practices,mindfulness > no intervention,21,22,8,20,1.42,2.1,3.2,2.8,5.7,-1,,,,ADHD patients with no meditation intervention 
11,Bueno,2015,"Mindfulness Meditation Improves Mood, Quality of Life, and Attention in Adults with Attention Deficit Hyperactivity Disorder",AT - sustained,Attentional network test- Alerting,reaction time,1,ADHD adults & healthy people,43 (NR),,8 wkly (2.5 hrs) mindfulness awareness practices,mindfulness > no intervention,21,22,8,20,1.42,39.3,19.7,46,27.1,-1,,,,ADHD patients with no meditation intervention 
11,Bueno,2015,"Mindfulness Meditation Improves Mood, Quality of Life, and Attention in Adults with Attention Deficit Hyperactivity Disorder",AT - selective,Attentional network test- Orienting,reaction time,1,ADHD adults & healthy people,43 (NR),,8 wkly (2.5 hrs) mindfulness awareness practices,mindfulness > no intervention,21,22,8,20,1.42,32.1,21.2,26.6,23.8,-1,,,,ADHD patients with no meditation intervention 
11,Bueno,2015,"Mindfulness Meditation Improves Mood, Quality of Life, and Attention in Adults with Attention Deficit Hyperactivity Disorder",EF - conflict monitoring,Attentional Network Test-Executive,reaction time,1,ADHD adults & healthy people,43 (NR),,8 wkly (2.5 hrs) mindfulness awareness practices,mindfulness > no intervention,21,22,8,20,1.42,140.1,77.2,107.5,69.9,-1,,,,ADHD patients with no meditation intervention 
11,Bueno,2015,"Mindfulness Meditation Improves Mood, Quality of Life, and Attention in Adults with Attention Deficit Hyperactivity Disorder",AT - sustained,Continuous Performance Test II ,reaction time - correct response,1,ADHD adults & healthy people,43 (NR),,8 wkly (2.5 hrs) mindfulness awareness practices,mindfulness > no intervention,21,22,8,20,1.42,397.1,69.3,378.2,67.8,-1,,,,ADHD patients with no meditation intervention 
11,Bueno,2015,"Mindfulness Meditation Improves Mood, Quality of Life, and Attention in Adults with Attention Deficit Hyperactivity Disorder",AT - sustained,Continuous Performance Test II ,reaction time - variability of standard error,1,ADHD adults & healthy people,43 (NR),,8 wkly (2.5 hrs) mindfulness awareness practices,mindfulness > no intervention,21,22,8,20,1.42,8.4,8.4,9.8,12.5,-1,,,,ADHD patients with no meditation intervention 
12,Cash,2016,Pilot study of a mindfulness-based group intervention for individuals with Parkinson’s disease and their caregivers,WM,Auditory Consonant Trigrams,accuracy,1,individuals with parkinson's disease and caregivers,72 (NR),,8 wk mindfulness-based grp,ns,36,36,8,1.5,,39.48,1.6,41.37,2.08,1,,,,
12,Cash,2016,Pilot study of a mindfulness-based group intervention for individuals with Parkinson’s disease and their caregivers,WM,Digit Span,accuracy - Backward SS,2,individuals with parkinson's disease and caregivers,72 (NR),,8 wk mindfulness-based grp,sig. improvement from pre-to-post,36,36,8,1.5,,9.61,0.57,9.74,0.64,1,,,,
12,Cash,2016,Pilot study of a mindfulness-based group intervention for individuals with Parkinson’s disease and their caregivers,WM,Digit Span,accuracy - Forward SS,2,individuals with parkinson's disease and caregivers,72 (NR),,8 wk mindfulness-based grp,sig. improvement from pre-to-post,36,36,8,1.5,,9.89,0.52,10.06,0.51,1,,,,
12,Cash,2016,Pilot study of a mindfulness-based group intervention for individuals with Parkinson’s disease and their caregivers,WM,Digit Span,accuracy - Sequencing SS,2,individuals with parkinson's disease and caregivers,72 (NR),,8 wk mindfulness-based grp,sig. improvement from pre-to-post,36,36,8,1.5,,10.19,0.53,10.35,0.6,1,,,,
12,Cash,2016,Pilot study of a mindfulness-based group intervention for individuals with Parkinson’s disease and their caregivers,WM,Digit Span,accuracy-Total SS,1,individuals with parkinson's disease and caregivers,72 (NR),,8 wk mindfulness-based grp,sig. improvement from pre-to-post,36,36,8,1.5,,10.02,0.45,10.07,0.58,1,,,,
12,Cash,2016,Pilot study of a mindfulness-based group intervention for individuals with Parkinson’s disease and their caregivers,AT - selective,Trail Making Test A,reaction time,1,individuals with parkinson's disease and caregivers,72 (NR),,8 wk mindfulness-based grp,sig. improvement from pre-to-post,36,36,8,1.5,,43.76,2.33,43.87,2.43,-1,,,,
12,Cash,2016,Pilot study of a mindfulness-based group intervention for individuals with Parkinson’s disease and their caregivers,EF - cognitive flexibility,Trail Making Test B,reaction time,1,individuals with parkinson's disease and caregivers,72 (NR),,8 wk mindfulness-based grp,sig. improvement from pre-to-post,34,34,8,1.5,,46.97,2.55,47.94,2.71,-1,,,,
12,Cash,2016,Pilot study of a mindfulness-based group intervention for individuals with Parkinson’s disease and their caregivers,AT - selective,Trail Making Test-A,reaction time,1,individuals with parkinson's disease and caregivers,80 (NR),,8 wk mindfulness-based grp,sig. improvement from pre-to-post,52,28,8,0.3,,34.52,11.77,34,13.43,-1,,,,
12,Cash,2016,Pilot study of a mindfulness-based group intervention for individuals with Parkinson’s disease and their caregivers,EF - cognitive flexibility,Trail Making Test-B,reaction time,1,individuals with parkinson's disease and caregivers,80 (NR),,8 wk mindfulness-based grp,sig. improvement from pre-to-post,52,28,8,0.3,,75.68,30.63,77.11,30.74,-1,,,,
13,Chesin,2016,"Improvements in Executive Attention, Rumination, Cognitive Reactivity, and Mindfulness Among High-Suicide Risk Patients Participating in Adjunct Mindfulness-Based Cognitive Therapy: Preliminary Findings",EF-conflict monitoring,Stroop Task,,,high-suicide risk outpts,10,,10 wks MBCT,improvement from pre-to-post,,,,,,,,,,,,,,
13,Chesin,2016,"Improvements in Executive Attention, Rumination, Cognitive Reactivity, and Mindfulness Among High-Suicide Risk Patients Participating in Adjunct Mindfulness-Based Cognitive Therapy: Preliminary Findings",AT-sustained,Continuous Performance Test,,,high-suicide risk outpts,10,,10 wks MBCT,ns,,,,,,,,,,,,,,
13,Chesin,2016,"Improvements in Executive Attention, Rumination, Cognitive Reactivity, and Mindfulness Among High-Suicide Risk Patients Participating in Adjunct Mindfulness-Based Cognitive Therapy: Preliminary Findings",LM,Buschke Selective Reminding Test,,,high-suicide risk outpts,10,,10 wks MBCT,improvement from pre-to-post,,,,,,,,,,,,,,
14,Ching,2015,Effects of a Mindfulness Meditation Course on Learning and Cognitive Performance among University Students in Taiwan,AT - sustained,Digit Vigilance Task ,accuracy-percent,1,college students,282 (NR),,18 wkly 50-minute classes,mindfulness > CG,152,130,18,15,,81.8,16.1,81.6,15.7,1,,,,
14,Ching,2015,Effects of a Mindfulness Meditation Course on Learning and Cognitive Performance among University Students in Taiwan,AT - sustained,Choice reaction time,accuracy-percent,1,college students,282 (NR),,18 wkly 50-minute classes,mindfulness > CG,152,130,18,15,,70.7,17.7,67.9,20.6,1,,,,
14,Ching,2015,Effects of a Mindfulness Meditation Course on Learning and Cognitive Performance among University Students in Taiwan,WM,spatial working memory task,accuracy-percent,1,college students,282 (NR),,18 wkly 50-minute classes,mindfulness > CG,152,130,18,15,,83.6,12,81.3,13.2,1,,,,
14,Ching,2015,Effects of a Mindfulness Meditation Course on Learning and Cognitive Performance among University Students in Taiwan,WM,memory scanning task,accuracy-percent,1,college students,282 (NR),,18 wkly 50-minute classes,ns,152,130,18,15,,83.7,14.7,82.5,12.9,1,,,,
14,Ching,2015,Effects of a Mindfulness Meditation Course on Learning and Cognitive Performance among University Students in Taiwan,AT - sustained,Digit Vigilance Task ,reaction time ,1,college students,282 (NR),,18 wkly 50-minute classes,mindfulness > CG,152,130,18,15,,32.8,6.2,33.3,7.9,-1,,,,
14,Ching,2015,Effects of a Mindfulness Meditation Course on Learning and Cognitive Performance among University Students in Taiwan,AT - sustained,Choice reaction time,reaction time ,1,college students,282 (NR),,18 wkly 50-minute classes,ns,152,130,18,15,,38.2,9.1,38.5,9.2,-1,,,,
14,Ching,2015,Effects of a Mindfulness Meditation Course on Learning and Cognitive Performance among University Students in Taiwan,WM,spatial working memory task,reaction time ,1,college students,282 (NR),,18 wkly 50-minute classes,ns,152,130,18,15,,21.7,5.5,22,7.9,-1,,,,
14,Ching,2015,Effects of a Mindfulness Meditation Course on Learning and Cognitive Performance among University Students in Taiwan,WM,memory scanning task,reaction time ,1,college students,282 (NR),,18 wkly 50-minute classes,ns,152,130,18,15,,33.7,6.5,32.8,5.5,-1,,,,
15,Colzato1,2016,A single bout of meditation biases cognitive control but not attentional focusing: Evidence from the global-local task,AT-miscellaneous,global-local task,reaction time-global congruency effect,1,college students,22 (20.41),20.41,17 min FAM or OMM (hallf and half),FAM > OMM,11,11,1,0.28,,25,,13,,-1,,,,"The ""control"" is Focused Attention Meditation(FAM) and the ""treatment"" is Open Monitoring Meditation(OMM)."
15,Colzato1,2016,A single bout of meditation biases cognitive control but not attentional focusing: Evidence from the global-local task,AT-miscellaneous,global-local task,reaction time-global precedence effect,1,college students,22 (20.41),20.41,17 min FAM or OMM (hallf and half),ns,11,11,1,0.28,,39,,39,,-1,,,,"The ""control"" is Focused Attention Meditation(FAM) and the ""treatment"" is Open Monitoring Meditation(OMM)."
16,Colzato2,2015,Meditation-induced cognitive-control states regulate response-conflict adaptation: Evidence from trial-to-trial adjustments in the Simon task,AT-selective,Simon Task,Reaction time,,college students,36 (21.06),21.06,"18 for OMM, 18 for FAM",ns,18,18,1,0.3,,,,,,-1,,,,
17,Colzato2,2015,Meditation-induced states predict attentional control over time,AT-miscellaneous,Attentional Blink (AB) Task ,T1 Accuracy ,,college students,40 (20.2),20.2,17 min OMM and FAM,OMM > FAM ,20,20,,1,0.28,,,,,,,,,
17,Colzato2,2015,Meditation-induced states predict attentional control over time,AT-miscellaneous,Attentional Blink (AB) Task ,T2 Accuracy ,,college students,40 (20.2),20.2,17 min OMM and FAM,OMM > FAM ,20,20,,1,0.28,,,,,,,,,
18,Course-Choi,2017,The effects of adaptive working memory training and mindfulness meditation training on processing efficiency and worry in high worriers,WM,adaptive dual n-back task ,accuracy-percent,1,high worriers,"15 (control 27.33)  
15 (Mindfulness 30.67) ",29,23:03 min guided sitting meditation,combined n-back and MMP group improved,15,15,,,,,,,,1,,,,
18,Course-Choi,2017,The effects of adaptive working memory training and mindfulness meditation training on processing efficiency and worry in high worriers,WM,control 1-back task,accuracy-percent,2,high worriers,"15 (control 27.33)  
15 (Mindfulness 30.67) ",29,23:03 min guided sitting meditation,combined > N-back,15,15,,,,,,,,1,,,,
18,Course-Choi,2017,The effects of adaptive working memory training and mindfulness meditation training on processing efficiency and worry in high worriers,AT-miscellaneous,Change Detection Task (CDT),,,high worriers,"15 (control 27.33)  
15 (Mindfulness 30.67) ",29,23:03 min guided sitting meditation,working memory capacity increased from pre-to-post,15,15,,,,,,,,1,,,,
19,Cusens,2010,Evaluation of the Breathworks Mindfulness-Based Pain Management Programme: Effects on Well-Being and Multiple Measures of Mindfulness,AT - sustained,continuous performance test,accuracy-d prime,1,"individuals with physical pain (back pain, arthritis, sciatic injury, fibromyalgia)",30 (NR),,breathworks 2.5 hr 12 wks (30-40 min daily practice),ns,12,18,,,,2.63,0.99,2.18,1.4,1,,,,Usual treatment
20,Deepeshwar,2015,Hemodynamic responses on prefrontal cortex related to meditation and attentional task,AT - sustained,Stroop Color*Word Test - neutral,reaction time,1,healthy male volunteers,22 (22.9),22.9,"20 min session, 5 days a week",improvement from pre-to-post,22,22,1,1,,638.64,118.615,617.73,121.663,-1,,,,
20,Deepeshwar,2015,Hemodynamic responses on prefrontal cortex related to meditation and attentional task,AT - sustained,Stroop Color*Word Test - congruent,reaction time,1,healthy male volunteers,22 (22.9),22.9,"20 min session, 5 days a week",improvement from pre-to-post,22,22,1,1,,794.55,118.029,764.55,112.238,-1,,,,
20,Deepeshwar,2015,Hemodynamic responses on prefrontal cortex related to meditation and attentional task,EF - inhibotory control,Stroop Color*Word Test - incongruent,reaction time,1,healthy male volunteers,22 (22.9),22.9,"20 min session, 5 days a week",improvement from pre-to-post,22,22,1,1,,865,137.797,819.09,133.627,-1,,,,
22,Droit-Volet,2015,Mindfulness meditation and relaxation training increases time sensitivity,AT-miscellaneous,bisection task,mean of proportion of long responses in difficult (ratio 2:3) temporal discrimination tasks,2,college students,42(22.5),22.5,two 10-minute audito recording mindfulness meditation or relaxation,ns,21,21,,2,0.33,,5.09,,5.13,,,,,
22,Droit-Volet,2015,Mindfulness meditation and relaxation training increases time sensitivity,AT-miscellaneous,bisection task,mean proportion of long responses for easy (ratio 1:2) temporal discrimination task ,2,college students,42(22.5),22.5,two 10-minute audito recording mindfulness meditation or relaxation,ns,21,21,,2,0.33,,6.2,,5.86,,,,,
22,Droit-Volet,2015,Mindfulness meditation and relaxation training increases time sensitivity,AT-selective,d2 test of attention ,,,college students,31(23.66),23.66,"20 min every day , 5 weeks",sig. improvement from pre-to-post,16,15,,,,,,,,,,,,
22,Droit-Volet,2015,Mindfulness meditation and relaxation training increases time sensitivity,AT-miscellaneous,bisection task,mean of proportion of long responses in difficult (ratio 2:3) temporal discrimination tasks,2,college students,31(23.66),23.66,"20 min every day , 5 weeks",ns,16,15,,,,,4.94,,5.02,,,,,
22,Droit-Volet,2015,Mindfulness meditation and relaxation training increases time sensitivity,AT-miscellaneous,bisection task,mean proportion of long responses for easy (ratio 1:2) temporal discrimination task ,2,college students,31(23.66),23.66,"20 min every day , 5 weeks",ns,16,15,,,,,5.75,,5.83,,,,,
22,Droit-Volet,2015,Mindfulness meditation and relaxation training increases time sensitivity,EF-inhibitory control,victoria stroop task ,,,college students,31(23.66),23.66,"20 min every day , 5 weeks",ns,16,15,,,,,,,,,,,,
23,Elliot,2014,A week-long meditation retreat decouples behavioral measures of the alerting and executive attention networks,EF-conflict monitoring,Attentional Network Test-Executive,,,healthy volunteers,44 (NR),,1 week  intensive meditation retreat,improvement from pre-to-post,,,,,,,,,,,,,,
23,Elliot,2014,A week-long meditation retreat decouples behavioral measures of the alerting and executive attention networks,AT-selective,Attentional network test- Orienting,,,healthy volunteers,44 (NR),,1 week  intensive meditation retreat,ns,,,,,,,,,,,,,,
23,Elliot,2014,A week-long meditation retreat decouples behavioral measures of the alerting and executive attention networks,AT-sustained,Attentional network test- Alerting,,,healthy volunteers,44 (NR),,1 week  intensive meditation retreat,ns,,,,,,,,,,,,,,
24,Esch,2017,Neurobiological Aspects of Mindfulness in Pain Autoregulation: Unexpected Results from a Randomized-Controlled Trial and Possible Implications for Meditation Research,AT - sustained,Attentional Network Test Alerting,reaction time,1,healthy   meditation-naïve adults,31 (NR),,5 daily group sessions of 1.5 hr each,ns,16,15,5,7.5,,40.45,20.832,34.07,16.195,-1,,,,no intervention 
24,Esch,2017,Neurobiological Aspects of Mindfulness in Pain Autoregulation: Unexpected Results from a Randomized-Controlled Trial and Possible Implications for Meditation Research,AT - selective,Attentional Network Test Orienting ,reaction time,1,healthy   meditation-naïve adults,31 (NR),,5 daily group sessions of 1.5 hr each,ns,16,15,5,7.5,,41.3,19.553,42.83,20.231,-1,,,,no intervention 
24,Esch,2017,Neurobiological Aspects of Mindfulness in Pain Autoregulation: Unexpected Results from a Randomized-Controlled Trial and Possible Implications for Meditation Research,EF - conflict monitoring,Attentional Network Test Executive,reaction time,1,healthy   meditation-naïve adults,31 (NR),,5 daily group sessions of 1.5 hr each,ns,16,15,5,7.5,,59.61,21.239,61.64,23.326,-1,,,,no intervention 
25,Fan,2014,Short term integrative meditation improves resting alpha activity and Stroop performance,EF-conflict monitoring,Stroop Task,,,chinese college students,43 (21.03),21.03,5 days meditation training with integrative body-mind training,meditation > CG,,,,,,,,,,,,,,
26,Frumkin,1979,Mindfulness Enhances Episodic Memory Performance: Evidence from a Multimethod Investigation,WM,Sperling's Task,accuracy (visual attention),2,college students (meditators vs. non-meditators),20 (NR),,NA,meditation > CG,10,10,1,0.2,0,67.4,,52.1,,1,,,,
26,Frumkin,1979,Mindfulness Enhances Episodic Memory Performance: Evidence from a Multimethod Investigation,WM,Sperling's Task,accuracy (visual attention),2,college students (meditators vs. non-meditators),20 ((NR),,NA,meditation > CG,10,10,1,0.2,0,67.4,,52.1,,1,,,,
27,Geng,2011,The effect of transcendental meditation on iconic memory,WM,Mental Rotation Task,spacial cognition,,nanjing college students,32 (NR),,mindfulness or mindless learning,mindfuln learning > mindless learning,,,1,2 mins or 0.03 hr,0,,,,,,,,,
